topic,intent,strength,style,n_samples
general_knowledge,mixed,strict,formal,12
math,adversarial,strict,concise,22
math,mixed,soft,verbose,8
AI,honest,strict,formal,17
general_knowledge,honest,strict,concise,5
math,honest,strict,formal,18
studying,honest,strict,concise,6
AI,adversarial,strict,verbose,33
studying,mixed,soft,formal,3
AI,mixed,strict,concise,19
math,adversarial,strict,verbose,30
math,mixed,strict,formal,17
business,honest,soft,concise,8
math,mixed,soft,formal,10
general_knowledge,honest,strict,verbose,13
math,mixed,soft,concise,8
business,adversarial,strict,concise,23
general_knowledge,mixed,soft,verbose,10
general_knowledge,honest,soft,verbose,8
AI,adversarial,strict,concise,23
math,mixed,strict,verbose,15
general_knowledge,mixed,strict,verbose,12
general_knowledge,honest,strict,formal,12
math,honest,strict,verbose,14
studying,honest,strict,formal,14
math,adversarial,strict,formal,18
general_knowledge,adversarial,strict,concise,16
math,honest,soft,concise,12
business,adversarial,strict,verbose,22
business,honest,strict,formal,12
business,mixed,strict,concise,12
AI,mixed,soft,verbose,12
AI,mixed,soft,concise,8
AI,honest,soft,concise,8
business,honest,strict,verbose,12
studying,adversarial,strict,concise,21
business,adversarial,strict,formal,25
business,mixed,strict,formal,15
studying,honest,soft,verbose,5
math,mixed,strict,concise,22
business,adversarial,soft,formal,2
AI,mixed,strict,formal,20
AI,honest,strict,verbose,10
general_knowledge,adversarial,strict,formal,19
studying,mixed,soft,concise,7
studying,adversarial,strict,verbose,16
general_knowledge,adversarial,soft,verbose,2
business,adversarial,soft,verbose,2
AI,mixed,soft,formal,5
math,adversarial,soft,verbose,6
studying,mixed,strict,formal,13
business,honest,strict,concise,14
studying,mixed,strict,verbose,12
AI,adversarial,strict,formal,22
math,honest,strict,concise,9
studying,adversarial,strict,formal,24
studying,honest,strict,verbose,12
business,mixed,soft,verbose,8
studying,mixed,strict,concise,19
business,mixed,strict,verbose,13
studying,adversarial,soft,verbose,3
general_knowledge,honest,soft,formal,8
AI,honest,strict,concise,18
business,honest,soft,verbose,7
studying,honest,soft,concise,6
studying,mixed,soft,verbose,12
business,mixed,soft,formal,6
general_knowledge,mixed,soft,formal,7
math,honest,soft,verbose,5
general_knowledge,mixed,soft,concise,6
math,honest,soft,formal,7
studying,adversarial,soft,concise,3
business,honest,soft,formal,5
general_knowledge,adversarial,strict,verbose,10
AI,mixed,strict,verbose,18
AI,honest,soft,formal,3
business,adversarial,soft,concise,4
AI,honest,soft,verbose,7
general_knowledge,honest,soft,concise,7
general_knowledge,mixed,strict,concise,13
AI,adversarial,soft,verbose,2
math,adversarial,soft,concise,4
studying,adversarial,soft,formal,3
math,adversarial,soft,formal,2
business,mixed,soft,concise,9
general_knowledge,adversarial,soft,formal,2
studying,honest,soft,formal,3
AI,adversarial,soft,concise,3
AI,adversarial,soft,formal,2
