topic_id,intent_id,strength_id,style_id,n_samples
4,2,1,1,12
2,1,1,0,22
2,2,0,2,8
1,0,1,1,17
4,0,1,0,5
2,0,1,1,18
0,0,1,0,6
1,1,1,2,33
0,2,0,1,3
1,2,1,0,19
2,1,1,2,30
2,2,1,1,17
3,0,0,0,8
2,2,0,1,10
4,0,1,2,13
2,2,0,0,8
3,1,1,0,23
4,2,0,2,10
4,0,0,2,8
1,1,1,0,23
2,2,1,2,15
4,2,1,2,12
4,0,1,1,12
2,0,1,2,14
0,0,1,1,14
2,1,1,1,18
4,1,1,0,16
2,0,0,0,12
3,1,1,2,22
3,0,1,1,12
3,2,1,0,12
1,2,0,2,12
1,2,0,0,8
1,0,0,0,8
3,0,1,2,12
0,1,1,0,21
3,1,1,1,25
3,2,1,1,15
0,0,0,2,5
2,2,1,0,22
3,1,0,1,2
1,2,1,1,20
1,0,1,2,10
4,1,1,1,19
0,2,0,0,7
0,1,1,2,16
4,1,0,2,2
3,1,0,2,2
1,2,0,1,5
2,1,0,2,6
0,2,1,1,13
3,0,1,0,14
0,2,1,2,12
1,1,1,1,22
2,0,1,0,9
0,1,1,1,24
0,0,1,2,12
3,2,0,2,8
0,2,1,0,19
3,2,1,2,13
0,1,0,2,3
4,0,0,1,8
1,0,1,0,18
3,0,0,2,7
0,0,0,0,6
0,2,0,2,12
3,2,0,1,6
4,2,0,1,7
2,0,0,2,5
4,2,0,0,6
2,0,0,1,7
0,1,0,0,3
3,0,0,1,5
4,1,1,2,10
1,2,1,2,18
1,0,0,1,3
3,1,0,0,4
1,0,0,2,7
4,0,0,0,7
4,2,1,0,13
1,1,0,2,2
2,1,0,0,4
0,1,0,1,3
2,1,0,1,2
3,2,0,0,9
4,1,0,1,2
0,0,0,1,3
1,1,0,0,3
1,1,0,1,2
